retention_ratio_requested,retention_ratio_actual_mean,retention_ratio_actual_std,precision_mean,precision_std,completeness_mean,completeness_std,commission_mean,commission_std,f1_mean,f1_std
0.76,0.7604726100966702,0.0,0.8125327826550266,0.008223276643386136,0.492442417331813,0.009613185179194097,0.18746721734497346,0.008223276643386136,0.613190440555778,0.008885584536469461
0.77,0.770139634801289,1.111334915764742e-16,0.8124974467677611,0.007954164810039292,0.498782212086659,0.009378428001831147,0.18750255323223872,0.007954164810039292,0.6180748139407615,0.008621628806335744
0.78,0.7803437164339418,1.111334915764742e-16,0.8125941433554978,0.007699727279747864,0.5054595210946409,0.009267171791254497,0.1874058566445022,0.007699727279747865,0.6232060456443578,0.008446497035938486
0.79,0.7900107411385606,1.111334915764742e-16,0.8125916973775863,0.007574222041485562,0.5117901938426455,0.0092108632541885,0.18740830262241376,0.007574222041485562,0.6279957860157037,0.008339352876991604
0.8,0.8002148227712136,1.111334915764742e-16,0.8125892429348417,0.007400327406413739,0.5182599771949828,0.009114420390231436,0.18741075706515847,0.007400327406413739,0.6328439785541452,0.008199003206364196
0.81,0.8104189044038669,1.111334915764742e-16,0.812569824966133,0.007089270518313809,0.5249600912200683,0.008989502892743882,0.18743017503386716,0.007089270518313809,0.6378101484769834,0.007998550085724154
0.82,0.8200859291084855,0.0,0.8126049261876847,0.006893219466100703,0.5312497149372861,0.008613483230927182,0.1873950738123154,0.006893219466100703,0.6424444627590401,0.007621880831172896
0.83,0.8302900107411387,2.222669831529484e-16,0.8125729207539105,0.006597986334466253,0.5378859749144813,0.008682610811856839,0.18742707924608953,0.006597986334466253,0.6472641930655866,0.007598900146667435
0.84,0.8404940923737917,1.111334915764742e-16,0.8126458366643687,0.006408731880938661,0.5446750285062714,0.008349941842161196,0.18735416333563132,0.006408731880938661,0.652181320940933,0.007272659899801631
0.85,0.8501611170784104,0.0,0.8126210770529292,0.0061540220060765476,0.5508711516533638,0.008268680351283796,0.1873789229470708,0.0061540220060765476,0.6565950949768762,0.007082730494269681
0.86,0.8603651987110634,0.0,0.8126230514501522,0.005843259236915573,0.5573956670467503,0.007942413241818738,0.18737694854984774,0.005843259236915573,0.6612110430090413,0.006751555060124813
0.87,0.8700322234156824,3.3340047472942265e-16,0.8125736107503079,0.005602663859922576,0.563605473204105,0.007692553724931765,0.18742638924969207,0.005602663859922576,0.6655454264151592,0.0064611016807872325
0.88,0.8802363050483353,1.111334915764742e-16,0.8126337372816801,0.005299559797371464,0.5702827822120866,0.007378286312371924,0.18736626271831985,0.005299559797371464,0.6702020043447935,0.00617739278128407
0.89,0.8904403866809881,1.111334915764742e-16,0.8126338999537945,0.005022694996125365,0.5769988597491447,0.007035574965278385,0.18736610004620546,0.005022694996125365,0.6748199175761593,0.005853835464843677
0.9,0.9001074113856067,2.222669831529484e-16,0.8127013382724144,0.004794446700142696,0.5833067274800456,0.0070280886320624285,0.18729866172758558,0.004794446700142696,0.6791387235396253,0.005779837381802655
0.91,0.9103114930182599,1.111334915764742e-16,0.8126659880738585,0.0045510870979843365,0.5898563283922462,0.006589661595070245,0.18733401192614155,0.0045510870979843365,0.6835473409258902,0.00540699588164464
0.92,0.9205155746509133,2.222669831529484e-16,0.8126332910489636,0.004326626133731471,0.5962371721778791,0.006225981348758651,0.18736670895103624,0.004326626133731471,0.6878027928225661,0.005098971213320023
0.93,0.930182599355532,3.3340047472942265e-16,0.8127410546745283,0.004025701457657082,0.6025062713797036,0.005868090860954042,0.1872589453254717,0.004025701457657082,0.6919961401839875,0.0047465113829959224
0.94,0.9403866809881849,1.111334915764742e-16,0.8126691052867471,0.0038222007212321074,0.6090467502850627,0.0053394795268813435,0.18733089471325287,0.0038222007212321074,0.6962663324034536,0.004358067561099768
0.95,0.9500537056928038,3.3340047472942265e-16,0.8126805794729605,0.0034587500940659907,0.615473204104903,0.0048070256915764675,0.1873194205270395,0.0034587500940659907,0.7004531117117535,0.003901683108625044
0.96,0.9602577873254566,1.111334915764742e-16,0.8126878568088775,0.0030212405246461314,0.6220843785632839,0.004501977395331749,0.18731214319112258,0.0030212405246461314,0.7047185474570381,0.0035603917863619113
0.97,0.9704618689581095,1.111334915764742e-16,0.8126045978895511,0.0025555093163137227,0.6286476624857469,0.0037591567599127595,0.18739540211044886,0.0025555093163137227,0.7088814088902385,0.0029728597441955836
0.98,0.9801288936627283,0.0,0.8126156916917409,0.0019843754024644624,0.6349464082098061,0.003095026327489115,0.1873843083082592,0.0019843754024644624,0.7128745451139861,0.0024110157108516803
0.99,0.9903329752953812,1.111334915764742e-16,0.812565546939166,0.0013926521225571275,0.6414595210946409,0.0021506700065439077,0.18743445306083378,0.0013926521225571275,0.7169432436854085,0.0016517162924287497
1.0,1.0,0.0,0.8125894134477823,2.222669831529484e-16,0.6476624857468642,1.111334915764742e-16,0.1874105865522174,2.778337289411855e-17,0.7208121827411168,0.0
